,identificador,ssoo,avg_tiempo_pag1,vistas_pag1,vistas_unicas_pag1,avg_tiempo_pag2,vistas_pag2,vistas_unicas_pag2,avg_tiempo_pag3,vistas_pag3,vistas_unicas_pag3,sesiones,vistas,vistas_unicas,duracion_media_sesion,vistas_user_error,vistas_process_error,avg_tiempo_proceso,avg_tiempo_no_proceso,0,1,Predict,Y
3319,48437u,1,11.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,31,545,143,636.419354839,0.0,0.0,11.0,625.419354839,1.0,0.0,0,0
3320,4843u,0,8.0,2,1,8.0,2.0,1.0,11.0,1.0,1.0,14,186,68,158.785714286,0.0,0.0,27.0,117.785714286,0.0,1.0,1,1
3321,48440u,0,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,39,295,156,129.051282051,0.0,0.0,3.0,126.051282051,1.0,0.0,0,0
3322,48444u,1,8.2380952381,21,14,8.71428571429,7.0,6.0,12.8,10.0,6.0,315,3480,1091,376.342857143,3.0,0.0,29.7523809524,339.840476191,0.1,0.9,1,1
3323,48459u,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,230,1280,574,74.3956521739,0.0,0.0,0.0,74.3956521739,1.0,0.0,0,0
3324,48462u,1,22.5,2,1,5.0,1.0,1.0,13.0,1.0,1.0,75,758,310,154.653333333,0.0,0.0,40.5,99.153333333,0.0,1.0,1,1
3325,48464u,1,14.5,2,2,8.0,1.0,1.0,9.0,1.0,1.0,16,140,67,71.3125,0.0,0.0,31.5,34.8125,0.0,1.0,1,1
3326,48467u,1,3.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,14,101,47,172.714285714,0.0,0.0,3.0,169.714285714,1.0,0.0,0,0
3327,48473u,1,10.0,1,1,3.0,1.0,1.0,9.0,1.0,1.0,13,129,61,290.692307692,0.0,0.0,22.0,263.692307692,0.0,1.0,1,1
3328,48478u,0,18.0,2,2,4.0,1.0,1.0,13.0,1.0,1.0,141,1320,522,147.290780142,0.0,0.0,35.0,110.290780142,0.1,0.9,1,1
3329,48482u,0,10.0,1,1,4.0,1.0,1.0,11.0,1.0,1.0,42,403,144,83.5238095238,0.0,0.0,25.0,54.5238095238,0.0,1.0,1,1
3330,48486u,1,10.3333333333,6,4,8.8,5.0,4.0,12.6666666667,3.0,3.0,19,193,102,93.0,0.0,0.0,31.8,51.5333333333,0.0,1.0,1,1
3331,4850u,1,6.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,19,207,88,176.578947368,0.0,0.0,6.0,170.578947368,1.0,0.0,0,0
3332,48511u,1,11.0,7,2,34.0,4.0,2.0,0.0,0.0,0.0,47,785,227,520.361702128,0.0,0.0,45.0,475.361702128,0.9,0.1,0,0
3333,48520u,1,5.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,171,1816,572,246.046783626,0.0,0.0,5.0,241.046783626,1.0,0.0,0,0
3334,48533u,1,22.0,2,1,14.0,1.0,1.0,21.0,1.0,1.0,16,238,107,201.9375,0.0,0.0,57.0,135.9375,0.0,1.0,1,1
3335,48538u,1,2.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,16,206,80,262.4375,0.0,0.0,2.0,260.4375,1.0,0.0,0,0
3336,48541u,1,4.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,22,412,120,411.681818182,0.0,0.0,4.0,407.681818182,1.0,0.0,0,0
3337,48548u,0,11.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,31,356,134,193.032258065,0.0,0.0,11.0,182.032258065,1.0,0.0,0,0
3338,48556u,0,45.0,1,1,12.0,1.0,1.0,9.0,1.0,1.0,244,2061,825,252.827868852,0.0,0.0,66.0,178.827868852,0.0,1.0,1,1
3339,48562u,1,14.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,72,305,216,154.027777778,0.0,0.0,14.0,140.027777778,1.0,0.0,0,0
3340,48592u,1,4.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,51,578,190,241.274509804,0.0,0.0,4.0,237.274509804,1.0,0.0,0,0
3341,48594u,0,4.5,2,2,0.0,0.0,0.0,0.0,0.0,0.0,14,163,70,229.714285714,0.0,0.0,4.5,225.214285714,1.0,0.0,0,0
3342,48596u,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,38,435,168,68.6315789474,0.0,0.0,0.0,68.6315789474,1.0,0.0,0,0
3343,48598u,0,9.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,40,678,211,423.35,0.0,0.0,9.0,414.35,1.0,0.0,0,0
3344,48601u,1,24.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,102,735,327,164.598039216,0.0,0.0,24.0,140.598039216,1.0,0.0,0,0
3345,48628u,1,8.5,2,2,3.0,1.0,1.0,26.0,2.0,1.0,24,272,84,173.666666667,0.0,1.0,37.5,131.166666667,0.1,0.9,1,1
3346,48641u,1,8.5,4,3,8.75,4.0,3.0,58.25,4.0,3.0,40,305,144,86.525,0.0,0.0,75.5,4.525,0.1,0.9,1,1
3347,48649u,1,7.0,1,1,5.0,1.0,1.0,12.0,1.0,1.0,67,503,222,124.970149254,0.0,0.0,24.0,91.970149254,0.0,1.0,1,1
